######################################################################								
# Company:	LCL_JoeFresh							
# URL:	www.beautyboutique.ca							
# Site:	www.beautyboutique.ca							
# Range:	Fri. 24 Nov. 2017 - Thu. 30 Nov. 2017							
# Report:	Last Touch Channel Report							
# Description:								
######################################################################								
# Report Options:								
# Report Type: 	Ranked							
# Selected Metrics: 	"Revenue, Visits, Orders"							
# Broken Down by: 	Last Touch Channel Detail							
# Data Filter: 	None							
# Compare to Report Suite: 	None							
# Compare to Segment: 	None							
# Selected Last Touch Channel: 	Paid Social: Facebook							
# Percent Shown as: 	Number							
# Segment: 	All Visits (No Segment)							
######################################################################								
#								
# Copyright 2017 Adobe Systems Incorporated. All rights reserved.								
# Use of this document signifies your agreement to the Terms of Use (http://marketing.adobe.com/resources/help/terms.html?type=prod&locale=en_US) and Online Privacy Policy (http://my.omniture.com/x/privacy).								
# Adobe Systems Incorporated products and services are licensed under the following Netratings patents: 5675510 5796952 6115680 6108637 6138155 6643696 and 6763386.								
#								
######################################################################								
								
Last Touch Channel by Last Touch Channel Detail 		Revenue		Visits		Orders		
1	Paid Social: Facebook	4315		16252		38		
	38	fb_P12_ca_BB-CyberMonday-Nov27_LookalikeLikelihoodtoConvertHigh-Collection-V1	0	0.00%	163	1.00%	0	0.00%
	39	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C3	0	0.00%	148	0.90%	0	0.00%
	40	fb_P11_ca_BB-DynamicRemarketing-Oct6_AbandonedCartt60Days-Carousel-V1	0	0.00%	131	0.80%	0	0.00%
	41	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikePredictedCLV75to90-Collection-V2	0	0.00%	126	0.80%	0	0.00%
	42	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikeViewedProductSkinCare60Days-Collection-V2	0	0.00%	121	0.70%	0	0.00%
	43	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikeLikelihoodtoConvertMedium-Collection-V2	0	0.00%	112	0.70%	0	0.00%
	44	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C7	0	0.00%	111	0.70%	0	0.00%
	45	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C9	0	0.00%	111	0.70%	0	0.00%
	46	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LookalikeLikelihoodtoConvertHigh-Collection-FR	0	0.00%	105	0.60%	0	0.00%
	47	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_Carousel_V1_C2	0	0.00%	98	0.60%	0	0.00%
	48	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C8	0	0.00%	92	0.60%	0	0.00%
	49	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_Carousel_V1_C3	0	0.00%	92	0.60%	0	0.00%
	50	fb_P12_ca_BB-CyberMonday-Nov27_LikelihoodtoConvertHigh-Collection-V2	0	0.00%	88	0.50%	0	0.00%
	51	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C2	0	0.00%	85	0.50%	0	0.00%
	52	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_Carousel_V1_C6	0	0.00%	78	0.50%	0	0.00%
	53	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C3	0	0.00%	77	0.50%	0	0.00%
	54	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_Carousel_V1_C4	0	0.00%	74	0.50%	0	0.00%
	55	fb_P12_ca_BB-CyberMonday-Nov27_LookalikeLifeCycleRepeatBuyer-Collection-V1	0	0.00%	72	0.40%	0	0.00%
	56	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_Carousel_V1_C5	0	0.00%	68	0.40%	0	0.00%
	57	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikeViewedProductMakeup60Days-Collection-V1	0	0.00%	65	0.40%	0	0.00%
	58	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C6	0	0.00%	65	0.40%	0	0.00%
	59	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_Carousel_V1_C6	0	0.00%	60	0.40%	0	0.00%
	60	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C5	0	0.00%	59	0.40%	0	0.00%
	61	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_Carousel_V1_C8	0	0.00%	57	0.40%	0	0.00%
	62	fb_P12_ca_BB-CyberMonday-Nov27_LikelihoodtoConvertHigh-Collection-V1	0	0.00%	56	0.30%	0	0.00%
	63	fb_P12_BB-CyberMonday-Nov27_BluecoreLookalike_EN_Carousel_V1_C4	0	0.00%	55	0.30%	0	0.00%
	64	fb_P12_ca_BB-CyberMonday-Nov27_LookalikeLifeCycleActiveBuyer-Collection-V1	0	0.00%	54	0.30%	0	0.00%
	65	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C7	0	0.00%	52	0.30%	0	0.00%
	66	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C9	0	0.00%	47	0.30%	0	0.00%
	67	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_Carousel_V1_C5	0	0.00%	47	0.30%	0	0.00%
	68	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C1	0	0.00%	38	0.20%	0	0.00%
	69	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C6	0	0.00%	37	0.20%	0	0.00%
	70	fb_P12_BB-BFWeekend-Nov25_BluecoreLookalike_EN_Carousel_V1_C7	0	0.00%	36	0.20%	0	0.00%
	71	fb_P12_ca_BB-BlackFridayWeekend-Nov25_PredictedCLVTop10-Collection-EN	0	0.00%	34	0.20%	0	0.00%
	72	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_Carousel_V1_C4	0	0.00%	32	0.20%	0	0.00%
	73	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikeViewedProductMakeup60Days-Collection-V2	0	0.00%	28	0.20%	0	0.00%
	74	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C8	0	0.00%	28	0.20%	0	0.00%
	75	fb_P12_BB-BFWeekend-Nov25_Bluecore_EN_Carousel_V1_C7	0	0.00%	28	0.20%	0	0.00%
	76	fb_P12_ca_BB-BlackFridayWeekend-Nov25_LifecycleActiveBuyer-Collection-EN	0	0.00%	25	0.20%	0	0.00%
	77	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C2	0	0.00%	24	0.10%	0	0.00%
	78	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C4	0	0.00%	23	0.10%	0	0.00%
	79	fb_P12_BB-CyberMonday-Nov27_Bluecore_EN_Carousel_V1_C5	0	0.00%	23	0.10%	0	0.00%
	80	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikeViewedProductSkinCare60Days-Collection-V1	0	0.00%	22	0.10%	0	0.00%
	81	fb_P12_ca_BB-DynamicRemarketing-Oct6_CrossSelling14Days-Carousel-V2	0	0.00%	22	0.10%	0	0.00%
	82	fb_P11_ca_BB-BlackFridayWeek-Nov20_LookalikeLikelihoodtoConvertMedium-Collection-V1	0	0.00%	22	0.10%	0	0.00%
	83	fb_P12_ca_BB-CyberMonday-Nov27_ActiveBuyer-Collection-V2	0	0.00%	21	0.10%	0	0.00%
	84	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C10	0	0.00%	19	0.10%	0	0.00%
	85	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C4	0	0.00%	18	0.10%	0	0.00%
	86	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_IGcarousel_V1_C6	0	0.00%	18	0.10%	0	0.00%
	87	fb_P12_ca_BB-CyberMonday-Nov27_PredictedCLVTop10-Collection-V2	0	0.00%	16	0.10%	0	0.00%
